ds,y,volume,rsi,ema_9,ema_21,macd,macd_signal
2022-01-03,399.927,104686047,50.0,399.927,399.927,0.0,0.0
2022-01-04,383.197,100248258,50.0,396.5810000000001,398.4060909090909,-1.3345868945868915,-0.2669173789173783
2022-01-05,362.707,80119797,50.0,389.8062000000001,395.16071900826444,-3.999524354510072,-1.0134387740359172
2022-01-06,354.9,90336474,50.0,382.82496000000015,391.5006536438767,-6.66464032049538,-2.14367908332781
2022-01-07,342.32,84164748,50.0,374.7239680000001,387.029685130797,-9.68027658648964,-3.650998583960176
2022-01-10,352.707,91814877,50.0,370.3205744000001,383.9094410279973,-11.104045437778666,-5.141607954723875
2022-01-11,354.8,66063210,50.0,367.21645952000006,381.26312820727026,-11.926029062717078,-6.498492176322515
2022-01-12,368.74,83739015,50.0,367.52116761600007,380.1246620066093,-11.322101372139286,-7.463214015485869
2022-01-13,343.853,97209792,50.0,362.78753409280006,376.8272381878266,-12.705199604625136,-8.511611133313723
2022-01-14,349.87,72924411,50.0,360.20402727424005,374.3765801707514,-13.164046372474502,-9.44209818114588
2022-01-18,343.503,66989409,50.0,356.86382181939206,371.56989106431945,-13.881432912841035,-10.329965127484911
2022-01-19,331.883,75442488,50.0,351.86765745551367,367.96199187665405,-15.212246493893645,-11.30642140076666
2022-01-20,332.09,70488744,50.0,347.91212596441096,364.70090170604914,-16.065034952052827,-12.258144111023894
2022-01-21,314.633,103416027,21.678553877621496,341.2563007715288,360.14927427822647,-17.942677932638503,-13.395050875346817
2022-01-24,310.0,152375142,21.03147247366556,335.0050406172231,355.59024934384223,-19.57887482132935,-14.631815664543323
2022-01-25,306.133,86595906,22.93188715297292,329.2306324937785,351.0941357671293,-20.946153012510706,-15.894683134136802
2022-01-26,312.47,104867283,30.406633437078312,325.87850599502286,347.58285069739026,-21.273164096627113,-16.970379326634863
2022-01-27,276.367,147109569,24.908783028211786,315.97620479601835,341.10868245217296,-24.166951537497425,-18.409693768807376
2022-01-28,282.117,134788950,29.88741522734108,309.2043638368147,335.7458022292481,-25.700067606128073,-19.867768536271516
2022-01-31,312.24,104436096,38.055855632493326,309.8114910694518,333.6089111174983,-24.205374296865728,-20.73528968839036
2022-02-01,310.417,73138338,36.87910554540563,309.93259285556144,331.50055556136203,-22.903898065428052,-21.1690113637979
2022-02-02,301.887,66793035,29.583254438954086,308.32347428444916,328.80841414669277,-22.303665712416546,-21.39594223352163
